Nation,Party,Var,Value,Left,CenR,CLib/G,FarR,NI,Comm
Armenia,Way Out Union,E181_EVS5,5103,,,1,,,
Armenia,Free Democrats Party,E181_EVS5,5104,,,1,,,
Armenia,Democratic Party of Armenia,E181_EVS5,5105,1,,,,,
Armenia,Heritage Party,E181_EVS5,5106,,1,,,,
Armenia,Armenian National Congress,E181_EVS5,5107,,,1,,,
Armenia,People's Party of Armenia,E181_EVS5,5108,1,,,,,
Armenia,Tsarukyan Block,E181_EVS5,5109,,1,,,,
Armenia,Republican Party,E181_EVS5,5110,,1,,,,
Armenia,Apricot Country Party,E181_EVS5,5111,,,1,,,
Armenia,Armenian Renaissance Party,E181_EVS5,5112,,1,,,,
Bosnia,Bosnian Party,E181_EVS5,7001,1,,,,,
Bosnia,Democratic Front,E181_EVS5,7002,1,,,,,
Bosnia,CDU 1990,E181_EVS5,7003,,1,,,,
Bosnia,Croatian Democratic Union,E181_EVS5,7004,,1,,,,
Bosnia,Croatian Republican Party,E181_EVS5,7005,,1,,-,,
Bosnia,Croatian Party of Rights,E181_EVS5,7006,,,,1,,
Bosnia,People and Justice,E181_EVS5,7008,,1,,,,
Bosnia,Our Party,E181_EVS5,7009,,,1,,,
Bosnia,Party of Democratic Progress,E181_EVS5,7010,,1,,,,
Bosnia,Movement of Democratic Action,E181_EVS5,7011,,1,,,,
Bosnia,Alliance of Independent Social Democrats,E181_EVS5,7012,,,,1,,
Bosnia,SBB BiH,E181_EVS5,7013,,1,,,,
Bosnia,Social-Democratic Party,E181_EVS5,7014,1,,,,,
Bosnia,Serbian Democratic Party,E181_EVS5,7015,,1,,,,
Bosnia,Democratic People's Alliance,E181_EVS5,7016,,,,1,,
Bosnia,Party of Democratic Action,E181_EVS5,7017,,1,,,,
Bosnia,Independent Bloc,E181_EVS5,7019,,1,,,,
Bulgaria,Citizens for European Development of Bulgaria,E181_EVS5,10001,,1,,,,
Bulgaria,BSP,E181_EVS5,10002,1,,,,,
Bulgaria,MRF,E181_EVS5,10003,,,1,,,
Bulgaria,Attack,E181_EVS5,10004,,,,1,,
Bulgaria,Union of Democratic Forces,E181_EVS5,10005,,1,,,,
Bulgaria,Democrats for a Strong Bulgaria,E181_EVS5,10006,,1,,,,
Bulgaria,VMRO,E181_EVS5,10007,,,,1,,
Bulgaria,VOLYA,E181_EVS5,10008,,,,1,,
Bulgaria,Alternative for Bulgarian Revival,E181_EVS5,10009,1,,,,,
Bulgaria,M21,E181_EVS5,10010,1,,,,,
Bulgaria,DOST,E181_EVS5,10011,,,1,,,
Bulgaria,Movement Bulgaria of the Citizens,E181_EVS5,10012,,1,,,,
Bulgaria,The Greens,E181_EVS5,10013,,,1,,,
Bulgaria,Yes Bulgaria,E181_EVS5,10014,,,1,,,
Bulgaria,NFSB,E181_EVS5,10015,,,,1,,
Croatia,Bandic Milan 365,E181_EVS5,19101,1,,,,,
Croatia,Croatian Democratic Union,E181_EVS5,19102,,1,,,,
Croatia,Croatian People's Party,E181_EVS5,19103,,,1,,,
Croatia,Croatian Peasant Party,E181_EVS5,19104,,,1,,,
Croatia,Croatian Social Liberal Party,E181_EVS5,19105,,1,,,,
Croatia,Croatian Party of Rights,E181_EVS5,19106,,,,1,,
Croatia,Croatian Party of Pensioners,E181_EVS5,19107,1,,,,,
Croatia,Croatian Democratic Alliance of Slavonia and Baranja,E181_EVS5,19108,,1,,,,
Croatia,Istrian Democratic Assembly,E181_EVS5,19109,,,1,,,
Croatia,Smart,E181_EVS5,19110,,,1,,,
Croatia,Gorski Kotar Alliance,E181_EVS5,19111,,,1,,,
Croatia,Independent Democratic Serbian Party,E181_EVS5,19112,1,,,,,
Croatia,Bridge of Independent Lists,E181_EVS5,19113,,1,,,,
Croatia,Social Democratic Party,E181_EVS5,19114,1,,,,,
Croatia,Human Shield,E181_EVS5,19115,,,,,1,
Czechia,ANO,E181_EVS5,20301,,1,,,,
Czechia,ČSSD,E181_EVS5,20302,1,,,,,
Czechia,KSČM,E181_EVS5,20303,,,,,,1
Czechia,ODS,E181_EVS5,20304,,1,,,,
Czechia,KDU-ČSL,E181_EVS5,20305,,1,,,,
Czechia,TOP 09,E181_EVS5,20306,,1,,,,
Czechia,Pirate Party,E181_EVS5,20307,,,1,,,
Czechia,SPD,E181_EVS5,20308,,,,1,,
Czechia,Greens,E181_EVS5,20309,,,1,,,
Czechia,Mayors and Independents,E181_EVS5,20310,,,1,,,
Czechia,Úsvit-NK,E181_EVS5,20311,,,,1,,
Czechia,Svobodní,E181_EVS5,20312,,1,,,,
Czechia,SPO,E181_EVS5,20313,1,,,,,
Czechia,Realisté,E181_EVS5,20314,,1,,,,
Czechia,DSSS,E181_EVS5,20315,,,,1,,
Denmark,Social Democrats,E181_EVS5,20801,1,,,,,
Denmark,Social Liberal Party,E181_EVS5,20802,,,1,,,
Denmark,Conservative Peoples' Party,E181_EVS5,20803,,1,,,,
Denmark,Socialist Peoples' Party,E181_EVS5,20804,1,,,,,
Denmark,Danish Peoples' Party,E181_EVS5,20805,,,,1,,
Denmark,New Right,E181_EVS5,20806,,,,1,,
Denmark,Venstre,E181_EVS5,20807,,1,,,,
Denmark,Liberal Alliance,E181_EVS5,20808,,1,,,,
Denmark,Red-Green Alliance,E181_EVS5,20809,1,,,,,
Denmark,Alternative,E181_EVS5,20810,,,1,,,
Estonia,Estonian Centre Party,E181_EVS5,23301,,,1,,,
Estonia,Estonian Reform Party,E181_EVS5,23302,,1,,,,
Estonia,Social Democratic Party,E181_EVS5,23303,1,,,,,
Estonia,Union of Pro Patria and Res Publica,E181_EVS5,23304,,1,,,,
Estonia,Estonian Greens,E181_EVS5,23305,,,1,,,
Estonia,Estonian Conservative Peoples Party,E181_EVS5,23306,,,,1,,
Estonia,Estonian Free Party,E181_EVS5,23307,,1,,,,
Finland,Center Party,E181_EVS5,24601,,,1,,,
Finland,National Coalition Party,E181_EVS5,24602,,1,,,,
Finland,Social Democratic Party,E181_EVS5,24603,1,,,,,
Finland,Left Alliance,E181_EVS5,24604,1,,,,,
Finland,Green League,E181_EVS5,24605,,,1,,,
Finland,Christian Democrats,E181_EVS5,24606,,1,,,,
Finland,Swedish People's Party in Finland,E181_EVS5,24607,,,1,,,
Finland,Finns Party,E181_EVS5,24608,,,,1,,
France,Left extremists,E181_EVS5,25001,,,,,,1
France,FI,E181_EVS5,25002,,,,,,1
France,PCF,E181_EVS5,25003,,,,,,1
France,PS,E181_EVS5,25004,1,,,,,
France,Other Left,E181_EVS5,25005,1,,,,,
France,EELV,E181_EVS5,25006,,,1,,,
France,Other Environmentalist,E181_EVS5,25007,,,1,,,
France,LREM,E181_EVS5,25008,,,1,,,
France,MODEM,E181_EVS5,25009,,,1,,,
France,UDI,E181_EVS5,25010,,1,,,,
France,Act,E181_EVS5,25011,,1,,,,
France,LR,E181_EVS5,25012,,1,,,,
France,France Arise,E181_EVS5,25013,,,,1,,
France,FN,E181_EVS5,25014,,,,1,,
France,Right extremists,E181_EVS5,25015,,,,1,,
Georgia,United National Movement,E181_EVS5,26801,,1,,,,
Georgia,Georgian Labor Party,E181_EVS5,26802,1,,,,,
Georgia,New Rightists,E181_EVS5,26803,,1,,,,
Georgia,Republican Party,E181_EVS5,26804,,1,,,,
Georgia,Industry Will Save Georgia,E181_EVS5,26805,,1,,,,
Georgia,United Democratic Movement,E181_EVS5,26806,1,,,,,
Georgia,Alliance of Patriots,E181_EVS5,26807,,,,1,,
Georgia,European Georgia,E181_EVS5,26808,,1,,,,
Georgia,Free Democrats,E181_EVS5,26809,,,1,,,
Georgia,Georgian Dream,E181_EVS5,26810,1,,,,,
Georgia,National Forum,E181_EVS5,26811,,,1,,,
Georgia,State for the People,E181_EVS5,26812,,1,,,,
Georgia,New Political Center Girchi,E181_EVS5,26813,,1,,,,
Georgia,New Georgia,E181_EVS5,26814,,,1,,,
Georgia,Development Party,E181_EVS5,26815,,,1,,,
Germany,CDU/CSU,E181_EVS5,27601,,1,,,,
Greece,New Democracy,E179_WVS7,300002,,1,,,,
Greece,Communist Party,E179_WVS7,300003,,,,,,1
Greece,Independent Greeks,E179_WVS7,300101,,1,,,,
Greece,Front of the Greek Anticapitalist Left,E179_WVS7,300102,,,,,,1
Greece,Democratic Alignment,E179_WVS7,300103,1,,,,,
Greece,Union of Centrists,E179_WVS7,300104,,,1,,,
Greece,Popular Unity,E179_WVS7,300106,1,,,,,
Greece,Course of Freedom,E179_WVS7,300108,1,,,,,
Greece,The River,E179_WVS7,300109,1,,,,,
Greece,Syriza,E179_WVS7,300110,1,,,,,
Greece,Golden Dawn,E179_WVS7,300111,,,,1,,
Germany,SPD,E181_EVS5,27602,1,,,,,
Germany,FDP,E181_EVS5,27603,,,1,,,
Germany,Greens,E181_EVS5,27604,,,1,,,
Germany,Die Linke,E181_EVS5,27605,,,,,,1
Germany,AfD,E181_EVS5,27606,,,,1,,
Hungary,MSZP,E181_EVS5,34801,1,,,,,
Hungary,Fidesz,E181_EVS5,34802,,1,,,,
Hungary,KDNP,E181_EVS5,34803,,1,,,,
Hungary,Jobbik,E181_EVS5,34804,,,,1,,
Hungary,LMP,E181_EVS5,34805,,,1,,,
Hungary,DK,E181_EVS5,34806,1,,,,,
Hungary,Together,E181_EVS5,34807,,,1,,,
Hungary,PM,E181_EVS5,34808,,,1,,,
Hungary,Momentum,E181_EVS5,34809,,,1,,,
Hungary,Liberálisok,E181_EVS5,34810,,1,,,,
Hungary,Two Tailed Dog Party,E181_EVS5,34811,,,,,1,
Hungary,Munkáspárt,E181_EVS5,34812,,,,,,1
Iceland,Independence Party,E181_EVS5,35201,,1,,,,
Iceland,Progressive Party,E181_EVS5,35202,,1,,,,
Iceland,Social Democratic Alliance,E181_EVS5,35203,1,,,,,
Iceland,Left-Green Movement,E181_EVS5,35204,1,,,,,
Iceland,Bright Future,E181_EVS5,35205,,,1,,,
Iceland,Pirate Party,E181_EVS5,35206,,,1,,,
Iceland,Reform Party,E181_EVS5,35207,,1,,,,
Iceland,Dawn,E181_EVS5,35208,,,1,,,
Iceland,People's Front of Iceland,E181_EVS5,35209,,,,,,1
Iceland,Icelandic National Front,E181_EVS5,35210,,,,1,,
Iceland,People's Party,E181_EVS5,35211,,,,1,,
Iceland,Humanist Party,E181_EVS5,35212,,,,,,1
Iceland,Centre Party,E181_EVS5,35216,,1,,,,
Italy,Communist Party,E181_EVS5,38001,,,,,,1
Italy,Power to the People,E181_EVS5,38002,,,,,,1
Italy,Free and Equal,E181_EVS5,38003,1,,,,,
Italy,Italy Europe Together,E181_EVS5,38004,1,,,,,
Italy,Democratic Party,E181_EVS5,38005,1,,,,,
Italy,More Europe,E181_EVS5,38006,,,1,,,
Italy,Popular Civic Lorenzin,E181_EVS5,38007,,,1,,,
Italy,SVP-PATT,E181_EVS5,38008,,1,,,,
Italy,Five Star Movement,E181_EVS5,38009,,,,,1,
Italy,Us with Italy,E181_EVS5,38010,,1,,,,
Italy,People of the Family,E181_EVS5,38011,,1,,,,
Italy,Go Italy,E181_EVS5,38012,,1,,,,
Italy,Liga Nord,E181_EVS5,38013,,,,1,,
Italy,Brothers of Italy,E181_EVS5,38014,,,,1,,
Italy,Casapound Italy,E181_EVS5,38015,,,,1,,
Italy,Italy to the Italians,E181_EVS5,38016,,,,1,,
Lithuania,Labour Party,E181_EVS5,44001,,,1,,,
Lithuania,Lithuanian Centre Party,E181_EVS5,44002,,1,,,,
Lithuania,Lithuanian Freedom Union,E181_EVS5,44003,,1,,,,
Lithuania,Electoral Action of Poles,E181_EVS5,44004,,1,,,,
Lithuania,Liberal Union,E181_EVS5,44005,,1,,,,
Lithuania,Social Democratic Party,E181_EVS5,44006,1,,,,,
Lithuania,Farmers and Greens Union,E181_EVS5,44007,,,1,,,
Lithuania,Order and Justice,E181_EVS5,44008,,,,1,,
Lithuania,List of Lithuania,E181_EVS5,44009,,,1,,,
Lithuania,Homeland Union,E181_EVS5,44010,,1,,,,
Lithuania,Lithuanian Green Party,E181_EVS5,44011,,,1,,,
Montenegro,Democratic Party of Socialists,E181_EVS5,49901,1,,,,,
Montenegro,Social Democratic Party,E181_EVS5,49902,1,,,,,
Montenegro,Social Democrats of Montenegro,E181_EVS5,49903,1,,,,,
Montenegro,Socialist Peoples' Party,E181_EVS5,49904,1,,,,,
Montenegro,Democratic Front,E181_EVS5,49905,,1,,,,
Montenegro,Positive Montenegro,E181_EVS5,49906,,,1,,,
Montenegro,Liberal Party of Montenegro,E181_EVS5,49907,,,1,,,
Montenegro,DEMOS,E181_EVS5,49908,,1,,,,
Montenegro,United Montenegro,E181_EVS5,49909,,1,,,,
Montenegro,Democratic Montenegro,E181_EVS5,49910,,,1,,,
Montenegro,United Reform Action,E181_EVS5,49911,,,1,,,
Montenegro,Montenegrin Party,E181_EVS5,49912,,1,,,,
Montenegro,Bosniaks Party,E181_EVS5,49913,,1,,,,
Montenegro,Democratic Alliance in Montenegro,E181_EVS5,49914,,1,,,,
Montenegro,Democratic Union of Albanians,E181_EVS5,49915,,1,,,,
Montenegro,Albanian Alternative,E181_EVS5,49916,,1,,,,
Montenegro,FORCA,E181_EVS5,49917,,,,,1,
Montenegro,Croatian Civic Initiative,E181_EVS5,49918,,1,,,,
Montenegro,True Montenegro,E181_EVS5,49919,,1,,,,
Netherlands,VVD,E181_EVS5,52801,,1,,,,
Netherlands,PVV,E181_EVS5,52802,,,,1,,
Netherlands,CDA,E181_EVS5,52803,,1,,,,
Netherlands,D66,E181_EVS5,52804,,,1,,,
Netherlands,GroenLinks,E181_EVS5,52805,,,1,,,
Netherlands,SP,E181_EVS5,52806,1,,,,,
Netherlands,PvdA,E181_EVS5,52807,1,,,,,
Netherlands,CU,E181_EVS5,52808,,1,,,,
Netherlands,PvdD,E181_EVS5,52809,,,,,1,
Netherlands,50PLUS,E181_EVS5,52810,,1,,,,
Netherlands,SGP,E181_EVS5,52811,,,,1,,
Netherlands,DENK,E181_EVS5,52812,1,,,,,
Netherlands,FvD,E181_EVS5,52813,,,,1,,
Norway,Labour Party,E181_EVS5,57801,1,,,,,
Norway,Democrats in Norway,E181_EVS5,57802,,,,1,,
Norway,Progress Party,E181_EVS5,57803,,,,1,,
Norway,Conservative Party,E181_EVS5,57804,,1,,,,
Norway,Christian Democratic Party,E181_EVS5,57805,,1,,,,
Norway,Coast Party,E181_EVS5,57806,,1,,,,
Norway,Green Party,E181_EVS5,57807,,,1,,,
Norway,The Christians,E181_EVS5,57808,,1,,,,
Norway,Pensioners' Party,E181_EVS5,57809,,,,,1,
Norway,Red Party,E181_EVS5,57810,,,,,,1
Norway,Centre Party,E181_EVS5,57811,,,1,,,
Norway,Socialist Left Party,E181_EVS5,57812,1,,,,,
Norway,Liberal Party,E181_EVS5,57813,,,1,,,
Poland,Law and Justice,E181_EVS5,61601,,,,1,,
Poland,Citizens' Platform,E181_EVS5,61602,,1,,,,
Poland,Kukiz'15,E181_EVS5,61603,,,,1,,
Poland,Modern,E181_EVS5,61604,,,1,,,
Poland,Polish Peasants' Party,E181_EVS5,61605,,1,,,,
Poland,Democratic Left Alliance,E181_EVS5,61606,1,,,,,
Poland,KORWiN,E181_EVS5,61607,,,,1,,
Poland,Together,E181_EVS5,61608,,,1,,,
Portugal,Alternative Socialist Movement,E181_EVS5,62001,,,,,,1
Portugal,Left Block,E181_EVS5,62002,1,,,,,
Portugal,Portuguese Communist Party,E181_EVS5,62003,,,,,,1
Portugal,FREE,E181_EVS5,62004,,,1,,,
Portugal,Communist Party,E181_EVS5,62005,,,,,,1
Portugal,Popular Monarchic Party,E181_EVS5,62006,,,,1,,
Portugal,Socialist Party,E181_EVS5,62007,1,,,,,
Portugal,PAN,E181_EVS5,62008,,,,,1,
Portugal,Social Democratic Party,E181_EVS5,62009,,1,,,,
Portugal,Social Democratic Centre,E181_EVS5,62010,,1,,,,
Portugal,Enough,E181_EVS5,62011,,,,1,,
Portugal,Together for the People,E181_EVS5,62012,,,1,,,
Portugal,Liberal Initiative,E181_EVS5,62013,,1,,,,
Portugal,We the Citizens,E181_EVS5,62014,,1,,,,
Portugal,PNR,E181_EVS5,62015,,,,1,,
Portugal,Democratic Republican Party,E181_EVS5,62016,,,1,,,
Portugal,Workers Party,E181_EVS5,62017,,,,,,1
Portugal,Liberal Democratic Party,E181_EVS5,62018,,,1,,,
Portugal,United Party of Retirees,E181_EVS5,62019,,,,,1,
Portugal,Alliance,E181_EVS5,62020,,1,,,,
Portugal,Citizenship and Christian Democracy,E181_EVS5,62021,,1,,,,
Portugal,PTP,E181_EVS5,62022,1,,,,,
Portugal,Earth Party,E181_EVS5,62023,,1,,,,
Romania,Social Democratic Party,E181_EVS5,64201,1,,,,,
Romania,National Liberal Party,E181_EVS5,64202,,1,,,,
Romania,Save Romania Union,E181_EVS5,64203,,,1,,,
Romania,Democratic Union of Hungarians from Romania,E181_EVS5,64204,,1,,,,
Romania,Great Romania Party,E181_EVS5,64205,,,,1,,
Romania,Alliance of Liberals and Democrats,E181_EVS5,64206,,1,,,,
Romania,Popular Movement Party,E181_EVS5,64207,,1,,,,
Serbia,SNS,E181_EVS5,68801,,1,,,,
Serbia,DS,E181_EVS5,68802,, ,1,,,
Serbia,PSG,E181_EVS5,68803,,,1,,,
Serbia,NS,E181_EVS5,68804,,,,1,,
Serbia,DSS,E181_EVS5,68805,,1,,,,
Serbia,SRS,E181_EVS5,68806,,,,1,,
Serbia,SDS,E181_EVS5,68807,1,,,,,
Serbia,LDP,E181_EVS5,68809,,,1,,,
Serbia,SPS,E181_EVS5,68810,1,,,,,
Serbia,Dveri,E181_EVS5,68811,,,,1,,
Serbia,DJB,E181_EVS5,68812,,,,1,,
Serbia,PUPS,E181_EVS5,68813,1,,,,,
Serbia,JS,E181_EVS5,68814,,1,,,,
Serbia,SVM,E181_EVS5,68815,,1,,,,
Serbia,LSV,E181_EVS5,68816,,,1,,,
Serbia,RP,E181_EVS5,68818,1,,,,,
Serbia,SDA,E181_EVS5,68819,,1,,,,
Serbia,SDPS,E181_EVS5,68820,1,,,,,
Slovakia,Communist Party,E181_EVS5,70301,,,,,,1
Slovakia,Kotleba,E181_EVS5,70302,,,,1,,
Slovakia,Christian Democratic Movement,E181_EVS5,70303,,1,,,,
Slovakia,Most-Hid,E181_EVS5,70304,,,1,,,
Slovakia,OL'aNo,E181_EVS5,70305,,1,,,,
Slovakia,Network,E181_EVS5,70306,,,1,,,
Slovakia,Freedom and Solidarity,E181_EVS5,70307,,1,,,,
Slovakia,Slovak National Party,E181_EVS5,70308,,,,1,,
Slovakia,We are Family,E181_EVS5,70309,,,,1,,
Slovakia,Direction- Social Democracy,E181_EVS5,70310,1,,,,,
Slovakia,Party of the Hungarian Community,E181_EVS5,70311,,1,,,,
Slovakia,Slovak Green Party,E181_EVS5,70312,,,1,,,
Slovenia,SMC,E181_EVS5,70501,,,1,,,
Slovenia,SDS,E181_EVS5,70502,,,,1,,
Slovenia,DESUS,E181_EVS5,70503,,,1,,,
Slovenia,SD,E181_EVS5,70504,1,,,,,
Slovenia,ZL,E181_EVS5,70505,,,,,,1
Slovenia,NSi,E181_EVS5,70506,,1,,,,
Slovenia,ZAAB,E181_EVS5,70507,,,1,,,
Slovenia,SLS,E181_EVS5,70508,,1,,,,
Slovenia,PS,E181_EVS5,70509,1,,,,,
Slovenia,SNS,E181_EVS5,70510,,,,1,,
Spain,PSOE,E181_EVS5,72401,1,,,,,
Spain,PP,E181_EVS5,72402,,1,,,,
Spain,United Left,E181_EVS5,72403,1,,,,,
Spain,Initiative for Catalonia,E181_EVS5,72404,,,1,,,
Spain,Podemos,E181_EVS5,72405,1,,,,,
Spain,We Can Together,E181_EVS5,72406,1,,,,,
Spain,In Tide,E181_EVS5,72407,1,,,,,
Spain,Compromise,E181_EVS5,72408,1,,,,,
Spain,Citizens,E181_EVS5,72409,,1,,,,
Spain,Catalan Democratic Party,E181_EVS5,72410,,1,,,,
Spain,Republican Party of Catalonia,E181_EVS5,72411,1,,,,,
Spain,Basque Nationalist Party,E181_EVS5,72412,,1,,,,
Spain,Basque Country United,E181_EVS5,72413,1,,,,,
Spain,Union of Navarrese People,E181_EVS5,72414,,1,,,,
Spain,Yes to the Future,E181_EVS5,72415,1,,,,,
Spain,Canary Coalition,E181_EVS5,72416,,1,,,,
Spain,New Canary Islands,E181_EVS5,72417,1,,,,,
Spain,Galician Nationalist Block,E181_EVS5,72418,1,,,,,
Spain,Aragonese Party,E181_EVS5,72420,,1,,,,
Spain,Asturias Forum,E181_EVS5,72421,,1,,,,
Sweden,Social Democratic Party,E181_EVS5,75201,1,,,,,
Sweden,Moderate Party,E181_EVS5,75202,,1,,,,
Sweden,Sweden Democrats,E181_EVS5,75203,,,,1,,
Sweden,Center Party,E181_EVS5,75204,,,1,,,
Sweden,Liberals,E181_EVS5,75205,,,1,,,
Sweden,Left wing party,E181_EVS5,75206,,,,,,1
Sweden,Greens,E181_EVS5,75207,,,1,,,
Sweden,Christian Democratic Party,E181_EVS5,75208,,1,,,,
Switzerland,Liberals,E181_EVS5,75601,,1,,,,
Switzerland,Christian Democratic Party,E181_EVS5,75602,,1,,,,
Switzerland,Social Democratic Party,E181_EVS5,75603,1,,,,,
Switzerland,Swiss Peoples' Party,E181_EVS5,75604,,1,,,,
Switzerland,Conservative Democratic Party,E181_EVS5,75605,,1,,,,
Switzerland,Movement of the Citizens of French-Speaking Switzerland,E181_EVS5,75606,,,,1,,
Switzerland,Swiss Labour Party,E181_EVS5,75607,,,,,,1
Switzerland,Green Party,E181_EVS5,75608,,,1,,,
Switzerland,Green Liberal Party,E181_EVS5,75609,,,1,,,
Switzerland,Pirate Party,E181_EVS5,75610,,,1,,,
Switzerland,Federal Democratic Union,E181_EVS5,75611,,,,1,,
Switzerland,Evangelical Peoples' Party,E181_EVS5,75612,,1,,,,
Switzerland,Ticino League,E181_EVS5,75613,,,,1,,
Switzerland,Alternative Left,E181_EVS5,75614,1,,,,,
Ukraine,Sluha Narodu,E181_EVS5,80401,,,1,,,
Ukraine,Opozytsiina Platforma,E181_EVS5,80402,,1,,,,
Ukraine,All Ukrainian Association,E181_EVS5,80403,1,,,,,
Ukraine,Yevropeiska Solidarnist,E181_EVS5,80404,,1,,,,
Ukraine,Holos,E181_EVS5,80405,,,1,,,
Ukraine,Radical Party,E181_EVS5,80406,,,,1,,
Ukraine,Syla i Chest,E181_EVS5,80407,,1,,,,
Ukraine,Opposition Bloc,E181_EVS5,80408,,1,,,,
Ukraine,Ukrainian Strategy,E181_EVS5,80409,1,,,,,
Ukraine,Shariy's Party,E181_EVS5,80410,,,,1,,
Ukraine,Svoboda,E181_EVS5,80411,,,,1,,
Macedonia,IMRO-DPMNU,E181_EVS5,80701,,,,1,,
Macedonia,Civil Option,E181_EVS5,80702,,,1,,,
Macedonia,Movement Besa,E181_EVS5,80703,,1,,,,
Macedonia,Democratic Renewal,E181_EVS5,80704,,,1,,,
Macedonia,DPA,E181_EVS5,80705,,,,1,,
Macedonia,DPSM,E181_EVS5,80706,,1,,,,
Macedonia,DPTM,E181_EVS5,80707,,,,,1,
Macedonia,DUI,E181_EVS5,80708,1,,,,,
Macedonia,Alliance of Albanians,E181_EVS5,80709,,1,,,,
Macedonia,LDP,E181_EVS5,80710,,,1,,,
Macedonia,NSDP,E181_EVS5,80711,1,,,,,
Macedonia,PDT,E181_EVS5,80712,,,,,1,
Macedonia,PEF,E181_EVS5,80713,,,1,,,
Macedonia,POPGM,E181_EVS5,80714,,,1,,,
Macedonia,RAM,E181_EVS5,80715,,,,,1,
Macedonia,SDAM,E181_EVS5,80716,1,,,,,
Macedonia,Socialistic Party,E181_EVS5,80717,1,,,,,
Macedonia,Serbian Party,E181_EVS5,80718,1,,,,,
Macedonia,Levica,E181_EVS5,80719,,,,,,1
UK,Conservative Party,E181_EVS5,82601,,1,,,,
UK,Labour,E181_EVS5,82602,1,,,,,
UK,Liberal Democrats,E181_EVS5,82603,,,1,,,
UK,SNP,E181_EVS5,82604,1,,,,,
UK,Plaid Cymru,E181_EVS5,82605,1,,,,,
UK,Greens,E181_EVS5,82606,,,1,,,
UK,UKIP,E181_EVS5,82607,,,,1,,
UK,BNP,E181_EVS5,82608,,,,1,,
